exp,target,seed,config,nmi,ari,seconds
tune,0.05_0.65,0,lr:0.001|do:0.0|h:128,0.2384,0.2542,3.73
tune,0.05_0.65,0,lr:0.01|do:0.0|h:64,0.2014,0.1976,2.99
tune,0.05_0.65,0,lr:0.001|do:0.5|h:128,0.2429,0.2512,3.7
mcdepth,0.05_0.65,0,mc_d3,0.0,0.0,9.65
tune,0.05_0.65,0,lr:0.01|do:0.0|h:128,0.2018,0.2048,3.89
tune,0.05_0.65,0,lr:0.01|do:0.5|h:64,0.1572,0.1547,3.01
tune,0.05_0.65,0,lr:0.01|do:0.5|h:128,0.1773,0.1873,3.66
depth,0.05_0.65,1,d2,0.1772,0.1551,4.27
tune,0.05_0.65,1,lr:0.001|do:0.0|h:64,0.2193,0.2144,3.04
depth,0.05_0.65,1,d3,0.1713,0.1596,6.04
mcdepth,0.05_0.65,1,mc_d2,0.0,0.0,7.04
tune,0.05_0.65,1,lr:0.001|do:0.0|h:128,0.2333,0.2088,3.73
tune,0.05_0.65,1,lr:0.001|do:0.5|h:128,0.1843,0.1607,3.71
tune,0.05_0.65,1,lr:0.01|do:0.0|h:64,0.1267,0.1185,3.25
mcdepth,0.05_0.65,1,mc_d3,0.0,0.0,9.42
tune,0.05_0.65,1,lr:0.01|do:0.5|h:64,0.1427,0.1417,3.01
tune,0.05_0.65,1,lr:0.01|do:0.0|h:128,0.1538,0.1423,3.97
tune,0.05_0.65,1,lr:0.01|do:0.5|h:128,0.1728,0.1593,3.68
depth,0.05_0.65,2,d2,0.2076,0.1948,4.56
depth,0.05_0.65,2,d3,0.1737,0.1557,5.39
tune,0.05_0.65,2,lr:0.001|do:0.0|h:64,0.1973,0.1892,2.94
mcdepth,0.05_0.65,2,mc_d2,0.004,0.0,6.72
tune,0.05_0.65,2,lr:0.001|do:0.0|h:128,0.2607,0.2524,3.85
tune,0.05_0.65,2,lr:0.01|do:0.0|h:64,0.1672,0.1428,2.94
tune,0.05_0.65,2,lr:0.001|do:0.5|h:128,0.2104,0.2026,3.66
mcdepth,0.05_0.65,2,mc_d3,0.0407,0.0213,9.41
tune,0.05_0.65,2,lr:0.01|do:0.0|h:128,0.2011,0.2001,3.84
tune,0.05_0.65,2,lr:0.01|do:0.5|h:64,0.133,0.1294,3.21
tune,0.05_0.65,2,lr:0.01|do:0.5|h:128,0.1417,0.1366,3.7
depth,0.05_0.65,3,d2,0.1916,0.1516,4.29
tune,0.05_0.65,3,lr:0.001|do:0.0|h:64,0.2971,0.306,3.0
depth,0.05_0.65,3,d3,0.2189,0.1847,5.68
mcdepth,0.05_0.65,3,mc_d2,0.0031,0.0,6.94
tune,0.05_0.65,3,lr:0.001|do:0.0|h:128,0.308,0.3127,3.68
tune,0.05_0.65,3,lr:0.001|do:0.5|h:128,0.3011,0.3066,3.66
tune,0.05_0.65,3,lr:0.01|do:0.0|h:64,0.1979,0.2061,3.04
tune,0.05_0.65,3,lr:0.01|do:0.5|h:64,0.1844,0.184,2.98
mcdepth,0.05_0.65,3,mc_d3,0.2111,0.2102,9.49
tune,0.05_0.65,3,lr:0.01|do:0.0|h:128,0.2119,0.2145,3.95
tune,0.05_0.65,3,lr:0.01|do:0.5|h:128,0.2313,0.2485,3.7
depth,0.05_0.65,4,d2,0.2495,0.2169,4.5
tune,0.05_0.65,4,lr:0.001|do:0.0|h:64,0.231,0.2041,3.07
depth,0.05_0.65,4,d3,0.2178,0.2079,5.95
mcdepth,0.05_0.65,4,mc_d2,0.0,0.0,6.8
tune,0.05_0.65,4,lr:0.001|do:0.0|h:128,0.2652,0.2236,3.82
tune,0.05_0.65,4,lr:0.001|do:0.5|h:128,0.2599,0.2328,3.7
tune,0.05_0.65,4,lr:0.01|do:0.0|h:64,0.2025,0.1846,3.25
tune,0.05_0.65,4,lr:0.01|do:0.5|h:64,0.1763,0.1607,3.14
mcdepth,0.05_0.65,4,mc_d3,0.0,0.0,9.65
tune,0.05_0.65,4,lr:0.01|do:0.0|h:128,0.217,0.2106,3.84
tune,0.05_0.65,4,lr:0.01|do:0.5|h:128,0.2271,0.2286,3.81
depth,0.05_0.8,0,d2,0.231,0.2032,4.73
tune,0.05_0.8,0,lr:0.001|do:0.0|h:64,0.3132,0.3189,3.0
depth,0.05_0.8,0,d3,0.2171,0.2038,6.07
mcdepth,0.05_0.8,0,mc_d2,0.0,0.0,6.84
tune,0.05_0.8,0,lr:0.001|do:0.0|h:128,0.2686,0.2867,3.92
tune,0.05_0.8,0,lr:0.001|do:0.5|h:128,0.3389,0.3613,3.73
tune,0.05_0.8,0,lr:0.01|do:0.0|h:64,0.2014,0.2056,3.29
mcdepth,0.05_0.8,0,mc_d3,0.0,0.0,9.47
tune,0.05_0.8,0,lr:0.01|do:0.0|h:128,0.2193,0.2253,3.9
tune,0.05_0.8,0,lr:0.01|do:0.5|h:64,0.2274,0.232,3.28
tune,0.05_0.8,0,lr:0.01|do:0.5|h:128,0.2311,0.238,3.65
depth,0.05_0.8,1,d2,0.2442,0.2123,4.56
tune,0.05_0.8,1,lr:0.001|do:0.0|h:64,0.2269,0.229,2.93
mcdepth,0.05_0.8,1,mc_d2,0.0,0.0,6.85
depth,0.05_0.8,1,d3,0.2187,0.2075,5.78
tune,0.05_0.8,1,lr:0.001|do:0.0|h:128,0.2202,0.1963,3.92
tune,0.05_0.8,1,lr:0.001|do:0.5|h:128,0.2599,0.224,3.69
tune,0.05_0.8,1,lr:0.01|do:0.0|h:64,0.1536,0.1459,3.16
tune,0.05_0.8,1,lr:0.01|do:0.0|h:128,0.2068,0.1849,3.81
mcdepth,0.05_0.8,1,mc_d3,0.004,0.0,9.41
tune,0.05_0.8,1,lr:0.01|do:0.5|h:64,0.1587,0.1573,3.21
tune,0.05_0.8,1,lr:0.01|do:0.5|h:128,0.1938,0.198,3.7
depth,0.05_0.8,2,d2,0.2224,0.1822,4.51
