exp,target,seed,config,nmi,ari,seconds
mcdepth,0.35_0.5,0,mc_d3,0.7512,0.7912,9.48
tune,0.35_0.5,0,lr:0.01|do:0.5|h:64,0.815,0.8613,3.1
tune,0.35_0.5,0,lr:0.01|do:0.5|h:128,0.8519,0.8939,4.11
depth,0.35_0.5,1,d2,0.9021,0.9345,4.95
tune,0.35_0.5,1,lr:0.001|do:0.0|h:64,0.9245,0.9501,3.37
depth,0.35_0.5,1,d3,0.8843,0.9216,6.38
mcdepth,0.35_0.5,1,mc_d2,0.9031,0.9369,7.14
tune,0.35_0.5,1,lr:0.001|do:0.0|h:128,0.9245,0.9501,3.87
tune,0.35_0.5,1,lr:0.01|do:0.0|h:64,0.9078,0.9396,3.25
tune,0.35_0.5,1,lr:0.001|do:0.5|h:128,0.9212,0.9475,3.88
mcdepth,0.35_0.5,1,mc_d3,0.8852,0.9216,9.84
tune,0.35_0.5,1,lr:0.01|do:0.0|h:128,0.9203,0.9475,3.88
tune,0.35_0.5,1,lr:0.01|do:0.5|h:64,0.8522,0.8917,3.23
tune,0.35_0.5,1,lr:0.01|do:0.5|h:128,0.8687,0.909,3.96
depth,0.35_0.5,2,d2,0.866,0.9062,4.55
depth,0.35_0.5,2,d3,0.8446,0.8909,5.93
tune,0.35_0.5,2,lr:0.001|do:0.0|h:64,0.9041,0.937,3.2
mcdepth,0.35_0.5,2,mc_d2,0.2643,0.2211,6.69
tune,0.35_0.5,2,lr:0.001|do:0.0|h:128,0.9079,0.9396,3.82
tune,0.35_0.5,2,lr:0.01|do:0.0|h:64,0.8954,0.9269,3.19
tune,0.35_0.5,2,lr:0.001|do:0.5|h:128,0.8905,0.9244,3.85
tune,0.35_0.5,2,lr:0.01|do:0.0|h:128,0.9055,0.937,3.8
mcdepth,0.35_0.5,2,mc_d3,0.8329,0.8811,9.41
tune,0.35_0.5,2,lr:0.01|do:0.5|h:64,0.8338,0.8808,3.17
tune,0.35_0.5,2,lr:0.01|do:0.5|h:128,0.8197,0.8683,3.95
depth,0.35_0.5,3,d2,0.9279,0.9551,4.6
depth,0.35_0.5,3,d3,0.8886,0.9241,5.9
tune,0.35_0.5,3,lr:0.001|do:0.0|h:64,0.9543,0.9709,3.2
mcdepth,0.35_0.5,3,mc_d2,0.9262,0.9526,6.79
tune,0.35_0.5,3,lr:0.001|do:0.0|h:128,0.9644,0.9787,3.85
tune,0.35_0.5,3,lr:0.01|do:0.0|h:64,0.9611,0.9761,3.19
tune,0.35_0.5,3,lr:0.001|do:0.5|h:128,0.9601,0.9761,3.85
mcdepth,0.35_0.5,3,mc_d3,0.8897,0.9266,9.5
tune,0.35_0.5,3,lr:0.01|do:0.0|h:128,0.9611,0.9761,3.81
tune,0.35_0.5,3,lr:0.01|do:0.5|h:64,0.95,0.9682,3.15
tune,0.35_0.5,3,lr:0.01|do:0.5|h:128,0.948,0.9682,3.89
depth,0.35_0.5,4,d2,0.9127,0.9447,4.55
depth,0.35_0.5,4,d3,0.8765,0.9163,6.09
tune,0.35_0.5,4,lr:0.001|do:0.0|h:64,0.9433,0.9656,3.38
mcdepth,0.35_0.5,4,mc_d2,0.9158,0.9448,7.17
tune,0.35_0.5,4,lr:0.001|do:0.0|h:128,0.9363,0.9604,4.01
tune,0.35_0.5,4,lr:0.01|do:0.0|h:64,0.9365,0.9604,3.28
tune,0.35_0.5,4,lr:0.001|do:0.5|h:128,0.9383,0.9604,3.88
mcdepth,0.35_0.5,4,mc_d3,0.8908,0.9267,9.78
tune,0.35_0.5,4,lr:0.01|do:0.0|h:128,0.9318,0.9577,4.06
tune,0.35_0.5,4,lr:0.01|do:0.5|h:64,0.9097,0.9396,3.22
tune,0.35_0.5,4,lr:0.01|do:0.5|h:128,0.865,0.9037,3.99
depth,0.35_0.65,0,d2,0.9251,0.9499,4.55
tune,0.35_0.65,0,lr:0.001|do:0.0|h:64,0.9527,0.9709,3.31
depth,0.35_0.65,0,d3,0.8714,0.9088,6.16
mcdepth,0.35_0.65,0,mc_d2,0.0,0.0,7.09
tune,0.35_0.65,0,lr:0.001|do:0.0|h:128,0.9457,0.9656,3.85
tune,0.35_0.65,0,lr:0.01|do:0.0|h:64,0.942,0.963,3.25
tune,0.35_0.65,0,lr:0.001|do:0.5|h:128,0.9459,0.9656,3.94
mcdepth,0.35_0.65,0,mc_d3,0.8536,0.8962,9.67
tune,0.35_0.65,0,lr:0.01|do:0.0|h:128,0.9533,0.9709,3.95
tune,0.35_0.65,0,lr:0.01|do:0.5|h:64,0.8785,0.9139,3.16
tune,0.35_0.65,0,lr:0.01|do:0.5|h:128,0.9339,0.9553,3.94
depth,0.35_0.65,1,d2,0.9306,0.9577,4.66
depth,0.35_0.65,1,d3,0.8883,0.9242,6.03
tune,0.35_0.65,1,lr:0.001|do:0.0|h:64,0.9624,0.9787,3.15
mcdepth,0.35_0.65,1,mc_d2,0.9355,0.9604,6.96
tune,0.35_0.65,1,lr:0.001|do:0.0|h:128,0.9624,0.9787,3.93
tune,0.35_0.65,1,lr:0.01|do:0.0|h:64,0.9624,0.9787,3.18
mcdepth,0.35_0.65,1,mc_d3,0.8941,0.9293,9.62
tune,0.35_0.65,1,lr:0.001|do:0.5|h:128,0.9681,0.9814,3.86
tune,0.35_0.65,1,lr:0.01|do:0.0|h:128,0.9624,0.9787,3.75
tune,0.35_0.65,1,lr:0.01|do:0.5|h:64,0.9409,0.9628,3.0
tune,0.35_0.65,1,lr:0.01|do:0.5|h:128,0.9597,0.9761,3.52
depth,0.35_0.65,2,d2,0.9453,0.9656,4.28
depth,0.35_0.65,2,d3,0.8988,0.9318,5.26
tune,0.35_0.65,2,lr:0.001|do:0.0|h:64,0.9728,0.984,2.75
mcdepth,0.35_0.65,2,mc_d2,0.9272,0.9526,6.36
tune,0.35_0.65,2,lr:0.001|do:0.0|h:128,0.9644,0.9787,3.55
tune,0.35_0.65,2,lr:0.01|do:0.0|h:64,0.9654,0.9787,2.7
tune,0.35_0.65,2,lr:0.001|do:0.5|h:128,0.9607,0.9761,3.41
mcdepth,0.35_0.65,2,mc_d3,0.8946,0.9317,8.83
tune,0.35_0.65,2,lr:0.01|do:0.0|h:128,0.9634,0.9787,3.62
tune,0.35_0.65,2,lr:0.01|do:0.5|h:64,0.9644,0.9787,2.99
tune,0.35_0.65,2,lr:0.01|do:0.5|h:128,0.9015,0.9344,3.65
depth,0.35_0.65,3,d2,0.9309,0.9551,4.24
tune,0.35_0.65,3,lr:0.001|do:0.0|h:64,0.9906,0.9947,2.8
depth,0.35_0.65,3,d3,0.8871,0.924,6.0
mcdepth,0.35_0.65,3,mc_d2,0.9412,0.963,6.89
tune,0.35_0.65,3,lr:0.001|do:0.0|h:128,0.9859,0.992,3.77
tune,0.35_0.65,3,lr:0.001|do:0.5|h:128,0.9906,0.9947,3.86
tune,0.35_0.65,3,lr:0.01|do:0.0|h:64,0.9812,0.9893,3.11
tune,0.35_0.65,3,lr:0.01|do:0.5|h:64,0.9547,0.9708,3.04
mcdepth,0.35_0.65,3,mc_d3,0.9326,0.9577,9.58
tune,0.35_0.65,3,lr:0.01|do:0.0|h:128,0.9859,0.992,3.79
tune,0.35_0.65,3,lr:0.01|do:0.5|h:128,0.9785,0.9867,3.68
depth,0.35_0.65,4,d2,0.9319,0.9577,4.46
tune,0.35_0.65,4,lr:0.001|do:0.0|h:64,0.9634,0.9787,3.06
depth,0.35_0.65,4,d3,0.8837,0.9214,6.05
mcdepth,0.35_0.65,4,mc_d2,0.9396,0.963,6.68
tune,0.35_0.65,4,lr:0.001|do:0.0|h:128,0.9681,0.9814,3.9
tune,0.35_0.65,4,lr:0.001|do:0.5|h:128,0.9765,0.9867,3.73
tune,0.35_0.65,4,lr:0.01|do:0.0|h:64,0.9634,0.9787,3.21
mcdepth,0.35_0.65,4,mc_d3,0.8926,0.9268,9.33
tune,0.35_0.65,4,lr:0.01|do:0.0|h:128,0.9587,0.9761,3.72
tune,0.35_0.65,4,lr:0.01|do:0.5|h:64,0.9513,0.9708,3.18
tune,0.35_0.65,4,lr:0.01|do:0.5|h:128,0.9513,0.9709,3.81
depth,0.35_0.8,0,d2,0.942,0.963,4.67
depth,0.35_0.8,0,d3,0.9022,0.9344,5.93
tune,0.35_0.8,0,lr:0.001|do:0.0|h:64,0.9728,0.984,3.14
mcdepth,0.35_0.8,0,mc_d2,0.0,0.0,6.9
tune,0.35_0.8,0,lr:0.001|do:0.0|h:128,0.9691,0.9814,3.96
tune,0.35_0.8,0,lr:0.01|do:0.0|h:64,0.9658,0.9788,3.03
tune,0.35_0.8,0,lr:0.001|do:0.5|h:128,0.9728,0.984,3.85
mcdepth,0.35_0.8,0,mc_d3,0.8991,0.9319,9.57
tune,0.35_0.8,0,lr:0.01|do:0.0|h:128,0.9695,0.9814,3.91
tune,0.35_0.8,0,lr:0.01|do:0.5|h:64,0.9302,0.9551,3.24
tune,0.35_0.8,0,lr:0.01|do:0.5|h:128,0.9466,0.9682,3.8
depth,0.35_0.8,1,d2,0.9507,0.9708,4.71
tune,0.35_0.8,1,lr:0.001|do:0.0|h:64,0.9728,0.984,3.33
depth,0.35_0.8,1,d3,0.8968,0.9319,6.16
mcdepth,0.35_0.8,1,mc_d2,0.9439,0.9656,7.29
tune,0.35_0.8,1,lr:0.001|do:0.0|h:128,0.9671,0.9814,3.79
tune,0.35_0.8,1,lr:0.01|do:0.0|h:64,0.9671,0.9814,3.09
tune,0.35_0.8,1,lr:0.001|do:0.5|h:128,0.9953,0.9973,3.82
tune,0.35_0.8,1,lr:0.01|do:0.0|h:128,0.9671,0.9814,3.89
mcdepth,0.35_0.8,1,mc_d3,0.4637,0.4594,10.19
tune,0.35_0.8,1,lr:0.01|do:0.5|h:64,0.957,0.9735,3.07
tune,0.35_0.8,1,lr:0.01|do:0.5|h:128,0.9624,0.9787,3.86
depth,0.35_0.8,2,d2,0.9443,0.9656,4.4
tune,0.35_0.8,2,lr:0.001|do:0.0|h:64,0.9822,0.9893,3.14
depth,0.35_0.8,2,d3,0.9155,0.9447,5.92
mcdepth,0.35_0.8,2,mc_d2,0.9291,0.9552,6.93
tune,0.35_0.8,2,lr:0.001|do:0.0|h:128,0.9775,0.9867,3.84
tune,0.35_0.8,2,lr:0.01|do:0.0|h:64,0.9822,0.9894,3.18
tune,0.35_0.8,2,lr:0.001|do:0.5|h:128,0.9859,0.992,3.89
mcdepth,0.35_0.8,2,mc_d3,0.9096,0.9421,9.4
tune,0.35_0.8,2,lr:0.01|do:0.5|h:64,0.9822,0.9894,3.13
tune,0.35_0.8,2,lr:0.01|do:0.0|h:128,0.9822,0.9894,3.91
tune,0.35_0.8,2,lr:0.01|do:0.5|h:128,0.9695,0.9814,3.83
depth,0.35_0.8,3,d2,0.936,0.9578,4.48
depth,0.35_0.8,3,d3,0.9241,0.9499,5.71
tune,0.35_0.8,3,lr:0.001|do:0.0|h:64,0.9953,0.9973,3.18
mcdepth,0.35_0.8,3,mc_d2,0.9634,0.9787,6.94
tune,0.35_0.8,3,lr:0.001|do:0.0|h:128,0.9906,0.9947,3.87
tune,0.35_0.8,3,lr:0.01|do:0.0|h:64,0.9906,0.9947,3.13
tune,0.35_0.8,3,lr:0.001|do:0.5|h:128,0.9953,0.9973,3.81
mcdepth,0.35_0.8,3,mc_d3,0.9148,0.9447,9.57
tune,0.35_0.8,3,lr:0.01|do:0.0|h:128,0.9906,0.9947,3.94
tune,0.35_0.8,3,lr:0.01|do:0.5|h:64,0.9752,0.9841,3.14
tune,0.35_0.8,3,lr:0.01|do:0.5|h:128,0.9822,0.9894,3.82
depth,0.35_0.8,4,d2,0.956,0.9735,4.44
tune,0.35_0.8,4,lr:0.001|do:0.0|h:64,0.9718,0.984,3.19
depth,0.35_0.8,4,d3,0.8757,0.9136,5.96
mcdepth,0.35_0.8,4,mc_d2,0.9305,0.9552,7.13
tune,0.35_0.8,4,lr:0.001|do:0.0|h:128,0.9718,0.984,3.85
tune,0.35_0.8,4,lr:0.01|do:0.0|h:64,0.9634,0.9788,3.04
tune,0.35_0.8,4,lr:0.001|do:0.5|h:128,0.9765,0.9867,3.8
mcdepth,0.35_0.8,4,mc_d3,0.9107,0.9422,9.62
tune,0.35_0.8,4,lr:0.01|do:0.5|h:64,0.9597,0.9761,3.04
tune,0.35_0.8,4,lr:0.01|do:0.0|h:128,0.9728,0.9841,3.97
tune,0.35_0.8,4,lr:0.01|do:0.5|h:128,0.9681,0.9814,3.77
depth,0.35_1.0,0,d2,0.9443,0.9656,4.47
tune,0.35_1.0,0,lr:0.001|do:0.0|h:64,0.9775,0.9867,3.12
depth,0.35_1.0,0,d3,0.9342,0.9578,5.65
mcdepth,0.35_1.0,0,mc_d2,0.9353,0.9578,7.03
tune,0.35_1.0,0,lr:0.001|do:0.0|h:128,0.9738,0.9841,3.88
tune,0.35_1.0,0,lr:0.01|do:0.0|h:64,0.9634,0.9761,3.08
tune,0.35_1.0,0,lr:0.001|do:0.5|h:128,0.9822,0.9894,3.77
mcdepth,0.35_1.0,0,mc_d3,0.9139,0.9447,9.55
tune,0.35_1.0,0,lr:0.01|do:0.0|h:128,0.9742,0.9841,3.96
tune,0.35_1.0,0,lr:0.01|do:0.5|h:64,0.9598,0.9735,3.18
tune,0.35_1.0,0,lr:0.01|do:0.5|h:128,0.9822,0.9894,3.83
depth,0.35_1.0,1,d2,0.9691,0.9814,4.48
tune,0.35_1.0,1,lr:0.001|do:0.0|h:64,0.9953,0.9973,3.16
depth,0.35_1.0,1,d3,0.9035,0.937,6.1
mcdepth,0.35_1.0,1,mc_d2,0.9527,0.9709,7.07
tune,0.35_1.0,1,lr:0.001|do:0.0|h:128,0.9906,0.9947,3.83
tune,0.35_1.0,1,lr:0.001|do:0.5|h:128,0.9953,0.9973,3.79
tune,0.35_1.0,1,lr:0.01|do:0.0|h:64,0.9775,0.9867,3.22
mcdepth,0.35_1.0,1,mc_d3,0.92,0.9474,9.74
tune,0.35_1.0,1,lr:0.01|do:0.5|h:64,0.8191,0.8684,3.08
tune,0.35_1.0,1,lr:0.01|do:0.0|h:128,0.9765,0.9867,4.01
tune,0.35_1.0,1,lr:0.01|do:0.5|h:128,0.9906,0.9947,3.81
depth,0.35_1.0,2,d2,0.9533,0.9708,4.61
depth,0.35_1.0,2,d3,0.9406,0.963,5.79
tune,0.35_1.0,2,lr:0.001|do:0.0|h:64,0.9869,0.992,3.16
mcdepth,0.35_1.0,2,mc_d2,0.9597,0.9761,7.09
tune,0.35_1.0,2,lr:0.001|do:0.0|h:128,0.9869,0.992,3.9
tune,0.35_1.0,2,lr:0.01|do:0.0|h:64,0.9869,0.992,3.16
tune,0.35_1.0,2,lr:0.001|do:0.5|h:128,0.9906,0.9947,3.79
mcdepth,0.35_1.0,2,mc_d3,0.895,0.9292,9.62
tune,0.35_1.0,2,lr:0.01|do:0.0|h:128,0.9869,0.992,4.02
tune,0.35_1.0,2,lr:0.01|do:0.5|h:64,0.9869,0.992,3.17
tune,0.35_1.0,2,lr:0.01|do:0.5|h:128,0.9741,0.984,3.83
depth,0.35_1.0,3,d2,0.9439,0.963,4.37
tune,0.35_1.0,3,lr:0.001|do:0.0|h:64,0.9953,0.9973,3.12
depth,0.35_1.0,3,d3,0.9231,0.9474,6.18
mcdepth,0.35_1.0,3,mc_d2,0.9822,0.9894,7.09
tune,0.35_1.0,3,lr:0.001|do:0.0|h:128,0.9953,0.9973,3.8
tune,0.35_1.0,3,lr:0.001|do:0.5|h:128,0.9953,0.9973,3.81
tune,0.35_1.0,3,lr:0.01|do:0.0|h:64,0.9953,0.9973,3.25
mcdepth,0.35_1.0,3,mc_d3,0.9356,0.9578,9.5
tune,0.35_1.0,3,lr:0.01|do:0.5|h:64,0.9953,0.9973,3.05
tune,0.35_1.0,3,lr:0.01|do:0.0|h:128,0.9953,0.9973,3.99
tune,0.35_1.0,3,lr:0.01|do:0.5|h:128,0.9869,0.992,3.84
depth,0.35_1.0,4,d2,0.9644,0.9788,4.69
depth,0.35_1.0,4,d3,0.908,0.9368,5.62
tune,0.35_1.0,4,lr:0.001|do:0.0|h:64,0.9765,0.9867,3.14
mcdepth,0.35_1.0,4,mc_d2,0.9494,0.9682,7.02
tune,0.35_1.0,4,lr:0.001|do:0.0|h:128,0.9765,0.9867,3.95
tune,0.35_1.0,4,lr:0.01|do:0.0|h:64,0.9728,0.9841,3.14
tune,0.35_1.0,4,lr:0.001|do:0.5|h:128,0.9812,0.9894,3.82
mcdepth,0.35_1.0,4,mc_d3,0.9178,0.9473,9.78
tune,0.35_1.0,4,lr:0.01|do:0.0|h:128,0.9859,0.992,4.04
tune,0.35_1.0,4,lr:0.01|do:0.5|h:64,0.9654,0.9787,3.21
tune,0.35_1.0,4,lr:0.01|do:0.5|h:128,0.9775,0.9867,3.87
depth,0.35_1.5,0,d2,0.9611,0.9761,4.44
tune,0.35_1.5,0,lr:0.001|do:0.0|h:64,0.9916,0.9947,3.14
depth,0.35_1.5,0,d3,0.9406,0.963,6.0
mcdepth,0.35_1.5,0,mc_d2,0.9644,0.9787,7.05
tune,0.35_1.5,0,lr:0.001|do:0.0|h:128,0.9883,0.992,3.79
tune,0.35_1.5,0,lr:0.01|do:0.0|h:64,0.9721,0.9814,3.18
tune,0.35_1.5,0,lr:0.001|do:0.5|h:128,0.9906,0.9947,3.83
tune,0.35_1.5,0,lr:0.01|do:0.5|h:64,0.9822,0.9893,3.11
mcdepth,0.35_1.5,0,mc_d3,0.8929,0.9267,9.62
tune,0.35_1.5,0,lr:0.01|do:0.0|h:128,0.9916,0.9947,3.97
tune,0.35_1.5,0,lr:0.01|do:0.5|h:128,0.9674,0.9788,3.94
depth,0.35_1.5,1,d2,0.9822,0.9893,4.43
tune,0.35_1.5,1,lr:0.001|do:0.0|h:64,0.9953,0.9973,3.19
depth,0.35_1.5,1,d3,0.9389,0.9604,6.19
mcdepth,0.35_1.5,1,mc_d2,0.9765,0.9867,6.8
tune,0.35_1.5,1,lr:0.001|do:0.0|h:128,0.9953,0.9973,3.83
tune,0.35_1.5,1,lr:0.01|do:0.0|h:64,0.9906,0.9947,3.19
mcdepth,0.35_1.5,1,mc_d3,0.9231,0.95,9.6
tune,0.35_1.5,1,lr:0.001|do:0.5|h:128,1.0,1.0,3.84
tune,0.35_1.5,1,lr:0.01|do:0.0|h:128,0.9869,0.992,3.86
tune,0.35_1.5,1,lr:0.01|do:0.5|h:64,0.8411,0.8885,3.11
tune,0.35_1.5,1,lr:0.01|do:0.5|h:128,0.9869,0.992,3.96
depth,0.35_1.5,2,d2,0.9528,0.9683,4.71
depth,0.35_1.5,2,d3,0.9256,0.9474,5.85
tune,0.35_1.5,2,lr:0.001|do:0.0|h:64,0.9953,0.9973,3.13
mcdepth,0.35_1.5,2,mc_d2,0.9091,0.9396,6.82
tune,0.35_1.5,2,lr:0.001|do:0.0|h:128,0.9869,0.992,3.89
tune,0.35_1.5,2,lr:0.01|do:0.0|h:64,0.9916,0.9947,3.09
tune,0.35_1.5,2,lr:0.001|do:0.5|h:128,0.9906,0.9947,3.85
mcdepth,0.35_1.5,2,mc_d3,0.889,0.9242,9.73
tune,0.35_1.5,2,lr:0.01|do:0.0|h:128,0.8753,0.9063,3.91
tune,0.35_1.5,2,lr:0.01|do:0.5|h:64,0.9627,0.9761,3.2
tune,0.35_1.5,2,lr:0.01|do:0.5|h:128,0.8131,0.8635,3.86
depth,0.35_1.5,3,d2,0.9467,0.963,4.45
depth,0.35_1.5,3,d3,0.9453,0.963,5.94
tune,0.35_1.5,3,lr:0.001|do:0.0|h:64,1.0,1.0,3.14
mcdepth,0.35_1.5,3,mc_d2,0.9859,0.992,7.23
tune,0.35_1.5,3,lr:0.001|do:0.0|h:128,0.9953,0.9973,3.85
tune,0.35_1.5,3,lr:0.01|do:0.0|h:64,1.0,1.0,3.13
tune,0.35_1.5,3,lr:0.001|do:0.5|h:128,1.0,1.0,3.9
mcdepth,0.35_1.5,3,mc_d3,0.9164,0.9473,9.7
tune,0.35_1.5,3,lr:0.01|do:0.0|h:128,0.9916,0.9947,3.95
tune,0.35_1.5,3,lr:0.01|do:0.5|h:64,0.9789,0.9867,3.13
tune,0.35_1.5,3,lr:0.01|do:0.5|h:128,0.9916,0.9947,3.88
depth,0.35_1.5,4,d2,0.942,0.9629,4.54
tune,0.35_1.5,4,lr:0.001|do:0.0|h:64,0.9869,0.992,3.15
depth,0.35_1.5,4,d3,0.9229,0.9498,5.78
mcdepth,0.35_1.5,4,mc_d2,0.9859,0.992,7.15
tune,0.35_1.5,4,lr:0.001|do:0.0|h:128,0.9869,0.992,3.91
tune,0.35_1.5,4,lr:0.01|do:0.0|h:64,0.9705,0.9814,3.14
tune,0.35_1.5,4,lr:0.001|do:0.5|h:128,0.9859,0.992,3.87
mcdepth,0.35_1.5,4,mc_d3,0.9403,0.9604,9.62
tune,0.35_1.5,4,lr:0.01|do:0.5|h:64,0.9598,0.9735,3.16
tune,0.35_1.5,4,lr:0.01|do:0.0|h:128,0.9953,0.9973,3.97
tune,0.35_1.5,4,lr:0.01|do:0.5|h:128,0.9775,0.9867,3.85
depth,0.45_0.0,0,d2,0.0205,0.0149,4.43
tune,0.45_0.0,0,lr:0.001|do:0.0|h:64,0.024,0.019,3.16
depth,0.45_0.0,0,d3,0.044,0.035,5.75
mcdepth,0.45_0.0,0,mc_d2,0.0079,0.0,6.95
tune,0.45_0.0,0,lr:0.001|do:0.0|h:128,0.0454,0.0421,3.79
tune,0.45_0.0,0,lr:0.01|do:0.0|h:64,0.0362,0.0304,3.08
tune,0.45_0.0,0,lr:0.001|do:0.5|h:128,0.0249,0.0205,3.82
mcdepth,0.45_0.0,0,mc_d3,0.2205,0.2145,9.49
tune,0.45_0.0,0,lr:0.01|do:0.0|h:128,0.0415,0.0379,3.89
tune,0.45_0.0,0,lr:0.01|do:0.5|h:64,0.0544,0.0479,3.07
tune,0.45_0.0,0,lr:0.01|do:0.5|h:128,0.0546,0.0537,3.87
depth,0.45_0.0,1,d2,0.0189,0.0154,4.38
depth,0.45_0.0,1,d3,0.057,0.0485,5.6
tune,0.45_0.0,1,lr:0.001|do:0.0|h:64,0.0209,0.0161,3.17
mcdepth,0.45_0.0,1,mc_d2,0.0,0.0,6.98
tune,0.45_0.0,1,lr:0.001|do:0.0|h:128,0.0107,0.007,3.82
tune,0.45_0.0,1,lr:0.01|do:0.0|h:64,0.0226,0.0184,3.11
tune,0.45_0.0,1,lr:0.001|do:0.5|h:128,0.0143,0.0098,3.75
mcdepth,0.45_0.0,1,mc_d3,0.1307,0.1202,9.61
tune,0.45_0.0,1,lr:0.01|do:0.5|h:64,0.0361,0.0319,3.06
tune,0.45_0.0,1,lr:0.01|do:0.0|h:128,0.0174,0.0131,3.9
tune,0.45_0.0,1,lr:0.01|do:0.5|h:128,0.0116,0.0075,3.84
depth,0.45_0.0,2,d2,0.0347,0.0285,4.28
tune,0.45_0.0,2,lr:0.001|do:0.0|h:64,0.0216,0.0181,3.13
depth,0.45_0.0,2,d3,0.0549,0.0479,5.66
mcdepth,0.45_0.0,2,mc_d2,0.002,0.0,6.98
tune,0.45_0.0,2,lr:0.001|do:0.0|h:128,0.0181,0.0134,3.77
tune,0.45_0.0,2,lr:0.01|do:0.0|h:64,0.0206,0.0175,3.11
tune,0.45_0.0,2,lr:0.001|do:0.5|h:128,0.0204,0.0148,3.83
mcdepth,0.45_0.0,2,mc_d3,0.1381,0.1258,9.37
tune,0.45_0.0,2,lr:0.01|do:0.5|h:64,0.0327,0.0271,3.05
tune,0.45_0.0,2,lr:0.01|do:0.0|h:128,0.0197,0.0146,3.89
tune,0.45_0.0,2,lr:0.01|do:0.5|h:128,0.0114,0.0075,3.84
depth,0.45_0.0,3,d2,0.0277,0.0226,4.48
depth,0.45_0.0,3,d3,0.064,0.0543,5.54
tune,0.45_0.0,3,lr:0.001|do:0.0|h:64,0.0319,0.0269,3.15
mcdepth,0.45_0.0,3,mc_d2,0.0,0.0,6.95
tune,0.45_0.0,3,lr:0.001|do:0.0|h:128,0.0207,0.0159,3.86
tune,0.45_0.0,3,lr:0.01|do:0.0|h:64,0.0351,0.0295,3.13
tune,0.45_0.0,3,lr:0.001|do:0.5|h:128,0.0263,0.0203,3.75
mcdepth,0.45_0.0,3,mc_d3,0.2532,0.241,9.71
tune,0.45_0.0,3,lr:0.01|do:0.0|h:128,0.0424,0.0343,3.91
tune,0.45_0.0,3,lr:0.01|do:0.5|h:64,0.0723,0.0619,3.16
tune,0.45_0.0,3,lr:0.01|do:0.5|h:128,0.0371,0.0311,3.84
depth,0.45_0.0,4,d2,0.025,0.0209,4.39
tune,0.45_0.0,4,lr:0.001|do:0.0|h:64,0.0163,0.0122,3.12
depth,0.45_0.0,4,d3,0.0502,0.0452,5.92
mcdepth,0.45_0.0,4,mc_d2,0.0,0.0,7.07
tune,0.45_0.0,4,lr:0.001|do:0.0|h:128,0.0081,0.0042,3.68
tune,0.45_0.0,4,lr:0.01|do:0.0|h:64,0.0212,0.0171,3.08
tune,0.45_0.0,4,lr:0.001|do:0.5|h:128,0.0188,0.0142,3.79
tune,0.45_0.0,4,lr:0.01|do:0.5|h:64,0.0346,0.0284,2.95
mcdepth,0.45_0.0,4,mc_d3,0.2332,0.2295,9.55
tune,0.45_0.0,4,lr:0.01|do:0.0|h:128,0.0134,0.0089,3.9
tune,0.45_0.0,4,lr:0.01|do:0.5|h:128,0.0216,0.0162,3.82
depth,0.45_0.2,0,d2,0.6217,0.6719,4.36
tune,0.45_0.2,0,lr:0.001|do:0.0|h:64,0.585,0.6247,3.17
depth,0.45_0.2,0,d3,0.7617,0.8154,6.01
mcdepth,0.45_0.2,0,mc_d2,0.5682,0.5519,6.57
tune,0.45_0.2,0,lr:0.001|do:0.0|h:128,0.4277,0.4354,3.84
tune,0.45_0.2,0,lr:0.01|do:0.0|h:64,0.5776,0.6088,3.37
tune,0.45_0.2,0,lr:0.001|do:0.5|h:128,0.4532,0.4755,3.92
mcdepth,0.45_0.2,0,mc_d3,0.6003,0.5853,9.75
tune,0.45_0.2,0,lr:0.01|do:0.0|h:128,0.6529,0.7089,3.9
tune,0.45_0.2,0,lr:0.01|do:0.5|h:64,0.6547,0.7045,3.26
tune,0.45_0.2,0,lr:0.01|do:0.5|h:128,0.6699,0.7199,4.02
depth,0.45_0.2,1,d2,0.7048,0.7652,4.53
depth,0.45_0.2,1,d3,0.7792,0.8342,5.85
tune,0.45_0.2,1,lr:0.001|do:0.0|h:64,0.4173,0.4141,3.38
mcdepth,0.45_0.2,1,mc_d2,0.7688,0.8245,7.16
tune,0.45_0.2,1,lr:0.001|do:0.0|h:128,0.4139,0.4138,3.94
tune,0.45_0.2,1,lr:0.001|do:0.5|h:128,0.5772,0.63,3.95
tune,0.45_0.2,1,lr:0.01|do:0.0|h:64,0.4417,0.4142,3.38
mcdepth,0.45_0.2,1,mc_d3,0.8201,0.8709,9.63
tune,0.45_0.2,1,lr:0.01|do:0.0|h:128,0.477,0.477,4.08
tune,0.45_0.2,1,lr:0.01|do:0.5|h:64,0.6706,0.7308,3.22
tune,0.45_0.2,1,lr:0.01|do:0.5|h:128,0.705,0.7613,3.85
depth,0.45_0.2,2,d2,0.6136,0.6746,4.65
tune,0.45_0.2,2,lr:0.001|do:0.0|h:64,0.5683,0.6272,3.1
mcdepth,0.45_0.2,2,mc_d2,0.7513,0.8079,6.94
depth,0.45_0.2,2,d3,0.6831,0.7427,5.98
tune,0.45_0.2,2,lr:0.001|do:0.0|h:128,0.527,0.581,3.96
tune,0.45_0.2,2,lr:0.01|do:0.0|h:64,0.6215,0.6817,3.24
mcdepth,0.45_0.2,2,mc_d3,0.7864,0.8393,9.13
tune,0.45_0.2,2,lr:0.001|do:0.5|h:128,0.5264,0.5818,3.78
