arm,structure,feature,seed,method,nmi,ari,sep_min,sep_mean,seconds
A,0.0,0.8,4,kmeans,0.9906,0.9947,5.4041,6.5344,0.01
A,0.0,0.8,4,dmon,0.8788,0.9164,5.4041,6.5344,2.21
A,0.0,0.8,4,mincut,0.0051,0.0,5.4041,6.5344,2.57
A,0.0,0.8,4,dmon_ref,0.1443,0.1127,5.4041,6.5344,2.48
A,0.0,1.0,0,louvain,0.0061,-0.0008,5.5832,7.6301,0.17
A,0.0,1.0,0,leiden,0.009,0.0022,5.5832,7.6301,0.08
A,0.0,1.0,0,kmeans,0.9953,0.9973,5.5832,7.6301,0.01
A,0.0,1.0,0,dmon,0.9289,0.9502,5.5832,7.6301,2.23
A,0.0,1.0,0,mincut,0.0,0.0,5.5832,7.6301,2.6
A,0.0,1.0,0,dmon_ref,0.1996,0.1592,5.5832,7.6301,2.59
A,0.0,1.0,1,louvain,0.0116,0.0024,6.4414,7.6147,0.12
A,0.0,1.0,1,leiden,0.003,-0.0023,6.4414,7.6147,0.08
A,0.0,1.0,1,kmeans,1.0,1.0,6.4414,7.6147,0.01
A,0.0,1.0,1,dmon,0.9812,0.9893,6.4414,7.6147,2.21
A,0.0,1.0,1,mincut,0.001,-0.0005,6.4414,7.6147,2.55
A,0.0,1.0,1,dmon_ref,0.193,0.1515,6.4414,7.6147,2.45
A,0.0,1.0,2,louvain,0.0087,0.0017,6.3535,7.5664,0.16
A,0.0,1.0,2,leiden,0.0046,-0.0013,6.3535,7.5664,0.09
A,0.0,1.0,2,kmeans,0.9953,0.9973,6.3535,7.5664,0.01
A,0.0,1.0,2,dmon,0.9728,0.984,6.3535,7.5664,2.21
A,0.0,1.0,2,mincut,0.0,0.0,6.3535,7.5664,2.57
A,0.0,1.0,2,dmon_ref,0.1834,0.1514,6.3535,7.5664,2.54
A,0.0,1.0,3,louvain,0.0061,-0.0013,7.3283,8.716,0.19
A,0.0,1.0,3,leiden,0.0084,0.0015,7.3283,8.716,0.08
A,0.0,1.0,3,kmeans,1.0,1.0,7.3283,8.716,0.01
A,0.0,1.0,3,dmon,1.0,1.0,7.3283,8.716,2.22
A,0.0,1.0,3,mincut,0.002,0.0,7.3283,8.716,2.51
A,0.0,1.0,3,dmon_ref,0.1991,0.1673,7.3283,8.716,2.46
A,0.0,1.0,4,louvain,0.0067,-0.0011,6.7551,8.168,0.17
A,0.0,1.0,4,leiden,0.0042,-0.0017,6.7551,8.168,0.07
A,0.0,1.0,4,kmeans,1.0,1.0,6.7551,8.168,0.01
A,0.0,1.0,4,dmon,0.9859,0.992,6.7551,8.168,2.22
A,0.0,1.0,4,mincut,0.0,0.0,6.7551,8.168,2.53
A,0.0,1.0,4,dmon_ref,0.2174,0.1925,6.7551,8.168,2.46
A,0.0,1.5,0,louvain,0.0061,-0.0008,8.3748,11.4451,0.3
A,0.0,1.5,0,leiden,0.009,0.0022,8.3748,11.4451,0.08
A,0.0,1.5,0,kmeans,1.0,1.0,8.3748,11.4451,0.01
A,0.0,1.5,0,dmon,1.0,1.0,8.3748,11.4451,2.24
A,0.0,1.5,0,mincut,0.0,0.0,8.3748,11.4451,2.55
A,0.0,1.5,0,dmon_ref,0.3024,0.2252,8.3748,11.4451,2.6
A,0.0,1.5,1,louvain,0.0116,0.0024,9.6621,11.422,0.12
A,0.0,1.5,1,leiden,0.003,-0.0023,9.6621,11.422,0.08
A,0.0,1.5,1,kmeans,1.0,1.0,9.6621,11.422,0.01
A,0.0,1.5,1,dmon,1.0,1.0,9.6621,11.422,2.24
A,0.0,1.5,1,mincut,0.0,0.0,9.6621,11.422,2.56
A,0.0,1.5,1,dmon_ref,0.2817,0.2008,9.6621,11.422,2.52
A,0.0,1.5,2,louvain,0.0087,0.0017,9.5302,11.3496,0.16
A,0.0,1.5,2,leiden,0.0046,-0.0013,9.5302,11.3496,0.09
A,0.0,1.5,2,kmeans,1.0,1.0,9.5302,11.3496,0.01
A,0.0,1.5,2,dmon,1.0,1.0,9.5302,11.3496,2.26
A,0.0,1.5,2,mincut,0.0,0.0,9.5302,11.3496,2.55
A,0.0,1.5,2,dmon_ref,0.3639,0.2685,9.5302,11.3496,2.58
A,0.0,1.5,3,louvain,0.0061,-0.0013,10.9924,13.074,0.19
A,0.0,1.5,3,leiden,0.0084,0.0015,10.9924,13.074,0.08
A,0.0,1.5,3,kmeans,1.0,1.0,10.9924,13.074,0.01
A,0.0,1.5,3,dmon,1.0,1.0,10.9924,13.074,2.23
A,0.0,1.5,3,mincut,0.0,0.0,10.9924,13.074,2.6
A,0.0,1.5,3,dmon_ref,0.3325,0.2638,10.9924,13.074,2.5
A,0.0,1.5,4,louvain,0.0067,-0.0011,10.1327,12.252,0.17
A,0.0,1.5,4,leiden,0.0042,-0.0017,10.1327,12.252,0.07
A,0.0,1.5,4,kmeans,1.0,1.0,10.1327,12.252,0.01
A,0.0,1.5,4,dmon,1.0,1.0,10.1327,12.252,2.21
A,0.0,1.5,4,mincut,0.0,0.0,10.1327,12.252,2.58
A,0.0,1.5,4,dmon_ref,0.3591,0.2876,10.1327,12.252,2.61
B,0.65,0.0,0,louvain,0.9859,0.992,0.0,0.0,0.1
B,0.65,0.0,0,leiden,0.9953,0.9973,0.0,0.0,0.05
B,0.65,0.0,0,kmeans,0.007,0.0033,0.0,0.0,0.03
B,0.65,0.0,0,dmon,0.0112,0.0076,0.0,0.0,2.23
B,0.65,0.0,0,mincut,0.0,0.0,0.0,0.0,2.56
B,0.65,0.0,0,dmon_ref,0.1089,0.0939,0.0,0.0,2.51
B,0.65,0.0,1,louvain,0.9953,0.9973,0.0,0.0,0.07
B,0.65,0.0,1,leiden,1.0,1.0,0.0,0.0,0.04
B,0.65,0.0,1,kmeans,0.0012,-0.0019,0.0,0.0,0.03
B,0.65,0.0,1,dmon,0.0143,0.0103,0.0,0.0,2.24
B,0.65,0.0,1,mincut,0.0,0.0,0.0,0.0,2.55
B,0.65,0.0,1,dmon_ref,0.0368,0.0306,0.0,0.0,2.54
B,0.65,0.0,2,louvain,1.0,1.0,0.0,0.0,0.07
B,0.65,0.0,2,leiden,1.0,1.0,0.0,0.0,0.05
B,0.65,0.0,2,kmeans,0.0029,-0.0003,0.0,0.0,0.03
B,0.65,0.0,2,dmon,0.0068,0.003,0.0,0.0,2.21
B,0.65,0.0,2,mincut,0.0068,0.0043,0.0,0.0,2.56
B,0.65,0.0,2,dmon_ref,0.0648,0.0616,0.0,0.0,2.46
B,0.65,0.0,3,louvain,0.9953,0.9973,0.0,0.0,0.07
B,0.65,0.0,3,leiden,0.9953,0.9973,0.0,0.0,0.05
B,0.65,0.0,3,kmeans,0.0065,0.003,0.0,0.0,0.03
B,0.65,0.0,3,dmon,0.0055,0.0022,0.0,0.0,2.22
B,0.65,0.0,3,mincut,0.0,0.0,0.0,0.0,2.53
B,0.65,0.0,3,dmon_ref,0.0633,0.0525,0.0,0.0,2.51
B,0.65,0.0,4,louvain,1.0,1.0,0.0,0.0,0.07
