structure,feature,seed,method,nmi,ari,seconds
0.2,0.65,4,dmon,0.9209,0.9449,2.22
0.2,0.65,4,mincut,0.0,0.0,2.58
0.2,0.8,0,louvain,0.0154,0.0058,0.16
0.2,0.8,0,leiden,0.0164,0.0069,0.08
0.2,0.8,0,kmeans,0.9554,0.9684,0.01
0.2,0.8,0,dmon,0.9543,0.9709,2.21
0.2,0.8,0,mincut,0.0,0.0,2.57
0.2,0.8,1,louvain,0.0173,0.0052,0.15
0.2,0.8,1,leiden,0.0131,0.0058,0.06
0.2,0.8,1,kmeans,0.9859,0.992,0.01
0.2,0.8,1,dmon,0.9906,0.9947,2.2
0.2,0.8,1,mincut,0.002,0.0,2.58
0.2,0.8,2,louvain,0.029,0.0188,0.14
0.2,0.8,2,leiden,0.0195,0.0113,0.07
0.2,0.8,2,kmeans,0.9573,0.9734,0.01
0.2,0.8,2,dmon,0.949,0.9683,2.24
0.2,0.8,2,mincut,0.0,0.0,2.55
0.2,0.8,3,louvain,0.0226,0.0112,0.11
0.2,0.8,3,leiden,0.0079,0.001,0.07
0.2,0.8,3,kmeans,1.0,1.0,0.01
0.2,0.8,3,dmon,0.9953,0.9973,2.19
0.2,0.8,3,mincut,0.0005,-0.0004,2.63
0.2,0.8,4,louvain,0.0353,0.0198,0.11
0.2,0.8,4,leiden,0.0292,0.0134,0.07
0.2,0.8,4,kmeans,0.9906,0.9947,0.01
0.2,0.8,4,dmon,0.9859,0.992,2.29
0.2,0.8,4,mincut,0.0,0.0,2.57
0.2,1.0,0,louvain,0.0154,0.0058,0.16
0.2,1.0,0,leiden,0.0164,0.0069,0.08
0.2,1.0,0,kmeans,0.9953,0.9973,0.01
0.2,1.0,0,dmon,0.9953,0.9973,2.21
0.2,1.0,0,mincut,0.0,0.0,2.56
0.2,1.0,1,louvain,0.0173,0.0052,0.15
0.2,1.0,1,leiden,0.0131,0.0058,0.06
0.2,1.0,1,kmeans,1.0,1.0,0.01
0.2,1.0,1,dmon,1.0,1.0,2.21
0.2,1.0,1,mincut,0.002,-0.0,2.58
0.2,1.0,2,louvain,0.029,0.0188,0.14
0.2,1.0,2,leiden,0.0195,0.0113,0.07
0.2,1.0,2,kmeans,0.9953,0.9973,0.01
0.2,1.0,2,dmon,0.9859,0.992,2.16
0.2,1.0,2,mincut,0.0,0.0,2.56
0.2,1.0,3,louvain,0.0226,0.0112,0.11
0.2,1.0,3,leiden,0.0079,0.001,0.07
0.2,1.0,3,kmeans,1.0,1.0,0.01
0.2,1.0,3,dmon,1.0,1.0,2.17
0.2,1.0,3,mincut,0.0026,0.0002,2.57
0.2,1.0,4,louvain,0.0353,0.0198,0.11
0.2,1.0,4,leiden,0.0292,0.0134,0.07
0.2,1.0,4,kmeans,1.0,1.0,0.01
0.2,1.0,4,dmon,1.0,1.0,2.18
0.2,1.0,4,mincut,0.0041,0.0,2.56
0.2,1.5,0,louvain,0.0154,0.0058,0.16
0.2,1.5,0,leiden,0.0164,0.0069,0.08
0.2,1.5,0,kmeans,1.0,1.0,0.01
0.2,1.5,0,dmon,1.0,1.0,2.25
0.2,1.5,0,mincut,0.0,0.0,2.68
0.2,1.5,1,louvain,0.0173,0.0052,0.15
0.2,1.5,1,leiden,0.0131,0.0058,0.07
0.2,1.5,1,kmeans,1.0,1.0,0.01
0.2,1.5,1,dmon,1.0,1.0,2.33
0.2,1.5,1,mincut,0.0,0.0,2.87
0.2,1.5,2,louvain,0.029,0.0188,0.14
0.2,1.5,2,leiden,0.0195,0.0113,0.08
0.2,1.5,2,kmeans,1.0,1.0,0.01
0.2,1.5,2,dmon,1.0,1.0,2.33
0.2,1.5,2,mincut,0.0,0.0,2.8
0.2,1.5,3,louvain,0.0226,0.0112,0.11
0.2,1.5,3,leiden,0.0079,0.001,0.07
0.2,1.5,3,kmeans,1.0,1.0,0.01
0.2,1.5,3,dmon,1.0,1.0,2.2
0.2,1.5,3,mincut,0.0,0.0,2.64
0.2,1.5,4,louvain,0.0353,0.0198,0.11
0.2,1.5,4,leiden,0.0292,0.0134,0.07
0.2,1.5,4,kmeans,1.0,1.0,0.01
0.2,1.5,4,dmon,1.0,1.0,2.23
0.2,1.5,4,mincut,0.0,0.0,2.56
0.35,0.0,0,louvain,0.1995,0.2011,0.18
0.35,0.0,0,leiden,0.1609,0.1465,0.08
0.35,0.0,0,kmeans,0.007,0.0033,0.02
0.35,0.0,0,dmon,0.0054,0.0021,2.22
0.35,0.0,0,mincut,0.0,0.0,2.82
0.35,0.0,1,louvain,0.1454,0.1289,0.16
0.35,0.0,1,leiden,0.1025,0.0857,0.07
0.35,0.0,1,kmeans,0.0012,-0.0019,0.03
0.35,0.0,1,dmon,0.0032,0.0,2.42
0.35,0.0,1,mincut,0.0071,0.0041,2.81
0.35,0.0,2,louvain,0.1171,0.101,0.15
0.35,0.0,2,leiden,0.0902,0.0625,0.07
0.35,0.0,2,kmeans,0.0029,-0.0003,0.03
0.35,0.0,2,dmon,0.0038,0.0005,2.35
0.35,0.0,2,mincut,0.0047,0.0,2.8
0.35,0.0,3,louvain,0.113,0.0701,0.16
0.35,0.0,3,leiden,0.298,0.2903,0.07
0.35,0.0,3,kmeans,0.0065,0.003,0.03
0.35,0.0,3,dmon,0.0043,0.001,2.37
0.35,0.0,3,mincut,0.002,0.0,2.86
0.35,0.0,4,louvain,0.2752,0.2872,0.18
0.35,0.0,4,leiden,0.0776,0.0585,0.07
0.35,0.0,4,kmeans,0.0026,-0.0006,0.03
0.35,0.0,4,dmon,0.007,0.0033,2.32
0.35,0.0,4,mincut,0.0,0.0,2.78
0.35,0.2,0,louvain,0.1995,0.2011,0.18
0.35,0.2,0,leiden,0.1609,0.1465,0.08
0.35,0.2,0,kmeans,0.0909,0.0891,0.02
0.35,0.2,0,dmon,0.0707,0.0617,2.33
0.35,0.2,0,mincut,0.0,0.0,2.8
0.35,0.2,1,louvain,0.1454,0.1289,0.16
0.35,0.2,1,leiden,0.1025,0.0857,0.07
0.35,0.2,1,kmeans,0.0734,0.0616,0.03
0.35,0.2,1,dmon,0.1279,0.1303,2.37
0.35,0.2,1,mincut,0.0062,0.0002,2.93
0.35,0.2,2,louvain,0.1171,0.101,0.16
0.35,0.2,2,leiden,0.0902,0.0625,0.07
0.35,0.2,2,kmeans,0.05,0.048,0.03
0.35,0.2,2,dmon,0.0454,0.0387,2.44
0.35,0.2,2,mincut,0.0,0.0,2.82
0.35,0.2,3,louvain,0.113,0.0701,0.16
0.35,0.2,3,leiden,0.298,0.2903,0.07
0.35,0.2,3,kmeans,0.1119,0.1077,0.03
0.35,0.2,3,dmon,0.1938,0.1903,2.35
0.35,0.2,3,mincut,0.0043,0.0004,2.78
0.35,0.2,4,louvain,0.2752,0.2872,0.18
0.35,0.2,4,leiden,0.0776,0.0585,0.07
0.35,0.2,4,kmeans,0.1309,0.13,0.03
0.35,0.2,4,dmon,0.1459,0.1445,2.35
0.35,0.2,4,mincut,0.0,0.0,2.82
0.35,0.35,0,louvain,0.1995,0.2011,0.18
0.35,0.35,0,leiden,0.1609,0.1465,0.08
